strain,pesticide,mu_final,A_final,Ki_median,Ki_hdi_low,Ki_hdi_high,S0_mg_L,attenuation,degradation_capacity,capacity_low,capacity_high,mu_source
FlupyradifuroneANDLB-FLUPC8,FLUPYRADIFURONE,0.5773207577187163,1.4797481347482184,10.525783550486755,2.2573743891891285,16.68224051273423,20.0,2.9000960739949013,0.29457276331156484,0.08664323048764029,0.38851115991929824,refined
MALATHIONANDLB-MAL1,MALATHION,0.3769713185433592,1.6791663435857105,24.322409053108665,6.87403377808703,36.37774867731885,50.0,3.0557174205410162,0.20715186107852346,0.07650673348078597,0.26658515834824903,refined
IMIDACLOPRIDANDLB-IMID2,IMIDACLOPRID,0.151763885518732,1.6250839496256977,27.23025047546859,2.2672681118343836,71.05166500913217,20.0,1.7344772688748407,0.14219215144244124,0.025111935055846517,0.192455623511518,refined
LAMBDACYHALOTHRINANDLB-LCY1,LAMBDACYHALOTHRIN,0.2030290579920371,1.6582285918149302,20.05570769223229,0.2439237259452731,35.43608445159453,50.0,3.49305588051452,0.09638225108556148,0.0016344554829928336,0.13963908372158979,refined
BifenthrinANDLB-BiF7,BIFENTHRIN,0.1908394188630752,1.6397174258529508,21.50948878733268,4.9206354661156215,40.66475013627558,50.0,3.3245554784847275,0.09412468002851895,0.028036431558243653,0.14035139597303647,refined
MALATHIONANDLB-MAL8,MALATHION,0.3231580922428549,1.6351101799181855,10.41480592758972,3.0718741827086897,30.034977695075195,50.0,5.8008575817573025,0.09108982230678377,0.03058447692906069,0.19829398632510467,refined
IMIDACLOPRIDANDLB-IMID2,IMIDACLOPRID,0.151763885518732,1.6250839496256977,11.697276855262489,2.450325707867752,82.40067439847483,20.0,2.7097996608503117,0.09101375944963147,0.026918162363698792,0.19845963452444915,refined
MALATHIONANDLB-MAL5,MALATHION,0.2887569621116886,1.5607982579939894,12.643930580246112,4.653174574479359,29.547351389397345,50.0,4.95446650728343,0.0909666788109296,0.0383718898245098,0.16740640450445718,refined
LAMBDACYHALOTHRINANDLB-LCY01,LAMBDACYHALOTHRIN,0.1903544672406567,1.7715056934494573,17.76565871660691,0.3618050592289785,32.83905724642932,50.0,3.8144185812407394,0.08840509118447977,0.0024225847194412537,0.13367837535762164,refined
IMIDACLOPRIDANDLB-IMID8,IMIDACLOPRID,0.1234876580487344,1.8466146300262352,12.531437190982622,2.673423224250406,85.77134118007802,20.0,2.5959861343271635,0.08784103773326686,0.026887501527848964,0.18491579802471347,refined
IMIDACLOPRIDANDLB-IMID8,IMIDACLOPRID,0.1234876580487344,1.8466146300262352,11.1880839673225,5.044125980832751,78.71149414905705,20.0,2.78761618686585,0.0818025512460707,0.0459282471991091,0.18183197550103758,refined
BifenthrinANDLB-BIF9,BIFENTHRIN,0.1668522140759865,1.6260780114585782,17.93192538701967,6.899588937970004,58.0690997887054,50.0,3.7883230005068698,0.07161868627248515,0.03289935922947352,0.1457863660914077,refined
BifenthrinANDLB-BIF2,BIFENTHRIN,0.1680337409769192,1.621240713119485,17.439297357467513,7.166573133239111,35.400673612018636,50.0,3.867087989562262,0.07044658481649714,0.03415178247845243,0.11292607339223236,refined
MALATHIONANDLB-MAL10,MALATHION,0.2627777246103946,1.498162939737944,10.863882838956364,1.9468778146191952,29.758060995497807,50.0,5.602406040380608,0.07027049549111422,0.014754579729680731,0.14688506500038315,refined
BifenthrinANDLB-BIF6,BIFENTHRIN,0.1537433449497315,1.6298124170612045,18.53292870871822,6.262565995830776,33.435503048929604,50.0,3.6979006278958546,0.06776082914433941,0.0278911696994534,0.10041322620272226,refined
IMIDACLOPRIDANDLB-IMID3,IMIDACLOPRID,0.0729843388023193,1.8617215724945153,16.23987363530914,1.971241076443882,71.82388572887194,20.0,2.231536676277794,0.060889215690224985,0.012190725716350761,0.10628149119136997,refined
IMIDACLOPRIDANDLB-IMID3,IMIDACLOPRID,0.0729843388023193,1.8617215724945153,14.648761035892134,4.327673978614112,73.17453531444708,20.0,2.3653031782685483,0.057445708969110186,0.02417120813856467,0.10671049800704845,refined
LambdaCyhalothrinANDLB-LCY4,LAMBDACYHALOTHRIN,0.130691446385968,1.2790167514389497,24.4306796165966,0.2506876384525371,31.706013733419987,50.0,3.046607003353001,0.054866462597069836,0.0008339006397619042,0.06486508890002654,refined
IMIDACLOPRIDANDLB-IMID5,IMIDACLOPRID,0.0767235956525637,1.6864327622434494,13.403789525516562,5.377080460965531,82.32672443153434,20.0,2.492115342599669,0.05191942087665541,0.027415922073945928,0.1040997634346773,refined
IMIDACLOPRIDANDLB-IMID5,IMIDACLOPRID,0.0767235956525637,1.6864327622434494,12.11068896612495,2.142146048296877,85.97105792221478,20.0,2.6514337091756213,0.04879970594695047,0.01251778086351092,0.10496946398345905,refined
PERMETHRINANDLB-PERM7,PERMETHRIN,0.150557111990526,1.7989576276823247,21.417602340931673,5.300169952564447,50.91399528447362,100.0,5.669056713640056,0.047776178418802724,0.013632733130317388,0.09137552198727421,refined
MALATHIONANDLB-MAL4,MALATHION,0.2089906433233019,1.069579537313021,13.03757294928988,4.424075547996017,46.883520340443106,50.0,4.835069624881628,0.046231416076859565,0.018170689291630276,0.10817084733408872,refined
DIAZINONANDLB-DIAZ28,DIAZINON,0.1396522974864217,1.3915235010972924,5.696956236014831,0.2399355167278853,18.200779660183116,20.0,4.5106465929235435,0.04308239404954864,0.002303690044205271,0.09258836086619683,refined
PERMETHRINANDLB-PERM4,PERMETHRIN,0.1512525810656599,1.7867584083073205,18.06945147986379,8.096039551408246,55.140137451584,100.0,6.534202303342625,0.04135957358697065,0.02024097682684576,0.09605330252449912,refined
LAMBDACYHALOTHRINANDLB-LCY3,LAMBDACYHALOTHRIN,0.0909201801596727,1.2797546984715589,17.097873844364578,0.3609141121390782,26.096738227597253,50.0,3.9243402106677663,0.02964970453604548,0.0008338679455883466,0.03990315248229344,refined
LAMBDACYHALOTHRINANDLB-LCY2,LAMBDACYHALOTHRIN,0.0784501543376107,1.0674275316107562,18.79565462201969,0.5553566713007168,30.6881236408887,50.0,3.660189336604614,0.022878558155890426,0.000919892370806882,0.03184878883841478,refined
IMIDACLOPRIDANDLB-IMID5,IMIDACLOPRID,0.0240538232238666,1.3338703887927097,13.403789525516562,5.377080460965531,82.32672443153434,20.0,2.492115342599669,0.012874477351477908,0.006798335995492671,0.025813655545541155,refined
IMIDACLOPRIDANDLB-IMID5,IMIDACLOPRID,0.0240538232238666,1.3338703887927097,12.11068896612495,2.142146048296877,85.97105792221478,20.0,2.6514337091756213,0.01210088052533124,0.0031040385947466807,0.026029315501465145,refined
DIAZINONANDLB-DIAZ8,DIAZINON,0.1090306064256901,0.3710421477395386,6.760592846216697,1.0517302117540517,13.84897007908057,20.0,3.958320439485159,0.01022023128142556,0.002021101975898668,0.01655174133866449,refined
IMIDACLOPRIDANDLB-IMID3,IMIDACLOPRID,0.0215045312455271,0.9165514041199064,16.23987363530914,1.971241076443882,71.82388572887194,20.0,2.231536676277794,0.008832482350639463,0.0017683651942398152,0.015417005860663765,refined
IMIDACLOPRIDANDLB-IMID3,IMIDACLOPRID,0.0215045312455271,0.9165514041199064,14.648761035892134,4.327673978614112,73.17453531444708,20.0,2.3653031782685483,0.008332973332601025,0.0035062328666483193,0.015479236833502403,refined
IMIDACLOPRIDANDLB-IMID2,IMIDACLOPRID,0.0367481418654679,0.383313339895986,27.23025047546859,2.2672681118343836,71.05166500913217,20.0,1.7344772688748407,0.008121209338512498,0.0014342513241050005,0.010991973825951074,refined
IMIDACLOPRIDANDLB-IMID8,IMIDACLOPRID,0.0299768434791512,0.6646281059115857,12.531437190982622,2.673423224250406,85.77134118007802,20.0,2.5959861343271635,0.007674714606255076,0.0023491742131746068,0.01615618408717998,refined
IMIDACLOPRIDANDLB-IMID8,IMIDACLOPRID,0.0299768434791512,0.6646281059115857,11.1880839673225,5.044125980832751,78.71149414905705,20.0,2.78761618686585,0.007147129076315383,0.0040127735135488275,0.015886748998794286,refined
IMIDACLOPRIDANDLB-IMID2,IMIDACLOPRID,0.0367481418654679,0.383313339895986,11.697276855262489,2.450325707867752,82.40067439847483,20.0,2.7097996608503117,0.005198189813413707,0.0015374127850661143,0.011334888887099761,refined
IMIDACLOPRIDANDLB-IMID6,IMIDACLOPRID,0.0213576913645442,0.551951080677461,15.295953990652976,4.463381134872338,77.78067348989558,20.0,2.3075353137320866,0.005108654571517653,0.0021508116798055177,0.009377208431450568,refined
PERMETHRINANDLB-CYPERM2,PERMETHRIN,0.0212268063617179,0.7285564322101152,16.637197115872564,5.353567160605318,67.4472315573738,100.0,7.010627830128666,0.0022059260147353084,0.0007858539949460272,0.0062292249095691615,refined
DIAZINONANDG-DIAZ8,DIAZINON,0.0454269168710666,0.1704531770779945,5.770091572133821,0.8420884505485623,16.73646275356813,20.0,4.466149496931442,0.0017337445400901483,0.0003128490488696313,0.003527643594612805,refined
PERMETHRINANDLB-CISPERM1,PERMETHRIN,0.0114152188202764,0.8241250992723673,18.255430991599,4.100409391709087,63.63404584521094,100.0,6.477821917544384,0.0014522733818904225,0.0003705545618325558,0.003658417367660733,refined
DIAZINONANDG-DIAZ28,DIAZINON,0.0219014654523801,0.1006769419986434,6.554142785624354,0.7394278586559897,12.371032314408284,20.0,4.0515050791794405,0.0005442354196631393,7.861442247824991e-05,0.0008426603950788149,refined
DIAZINONANDG-DIAZ26,DIAZINON,0.004547189994574,0.0903691808821377,6.6335359410123225,0.4364064911362072,13.844301701716573,20.0,4.014983287623202,0.00010234808109708603,8.775060424734789e-06,0.00016809273503826629,refined
MALATHIONANDG-MAL4,MALATHION,0.0060712334830985,0.0263541271829373,10.83408267266138,4.387771872100669,37.00244723702083,50.0,5.615065392307696,2.8495137312216977e-05,1.2908279038102756e-05,6.804943938596029e-05,refined
MALATHIONANDG-MAL10,MALATHION,0.0046801282752056,0.0187557702886362,14.869551784098844,3.593498628006632,32.570600444581004,50.0,4.362576137195262,2.0121003758009257e-05,5.8856988354152015e-06,3.462525526880519e-05,refined
MALATHIONANDG-MAL2,MALATHION,0.0067767961046374,0.0136037908879446,13.200937975846497,4.970072710444174,37.874184112225706,50.0,4.7876096449725045,1.9255980318807753e-05,8.335291597185741e-06,3.973437140341076e-05,refined
MALATHIONANDG-MAL8,MALATHION,0.0043640120859844,0.0186934832109223,12.32448972663777,5.108511958740694,33.306086242938754,50.0,5.0569630961622325,1.6131932369354644e-05,7.562265260401509e-06,3.261542542048046e-05,refined
MALATHIONANDG-MAL5,MALATHION,0.0034645726188554,0.0168126557855347,14.672581456071434,6.0643154343460965,38.60347329807772,50.0,4.407716641389663,1.3215156876881209e-05,6.300590435876484e-06,2.5378247297049836e-05,refined
MALATHIONANDG-MAL6,MALATHION,0.0037605919840979,0.0133783511390129,11.78466911306156,2.910608767221136,25.89388636470439,50.0,5.242800499556021,9.596115674834355e-06,2.767578074868384e-06,1.7165215165850637e-05,refined
MALATHIONANDG-MAL1,MALATHION,0.0019368831116442,0.0187223992585298,12.625748073181146,4.133555179451818,33.63471742786981,50.0,4.960161386888987,7.310870777140274e-06,2.7689945713308633e-06,1.4583645681980865e-05,refined
