Strain,Group,Treatment,Strain_ID,Classification,Max_OD600_A,A_StdErr,Growth_Rate_mu_OD_per_hr,mu_StdErr,Lag_Phase_lambda_hrs,lambda_StdErr,Doubling_Time_hrs,R_squared,RMSE
FlupyradifuroneANDLB-FLUPC8,Group1,FlupyradifuroneANDLB,FLUPC8,Good,1.324394,0.018547,1.11795,0.123732,3.695084,0.070879,0.302083,0.98507,0.072052
LB-BiF7,Group1,LB,BiF7,Good,1.721342,0.011376,0.315874,0.014237,0.759032,0.13179,1.389583,0.974636,0.082097
LB-BIF2,Group1,LB,BIF2,Good,1.719504,0.011548,0.289268,0.012559,0.523513,0.138128,1.515773,0.973996,0.081266
LB-BIF9,Group1,LB,BIF9,Good,1.746616,0.012194,0.255216,0.010423,0.305477,0.148725,1.745104,0.974893,0.081005
LB-BIF6,Group1,LB,BIF6,Good,1.87087,0.005492,0.209826,0.002795,0.276912,0.061587,2.273607,0.996988,0.030543
LB-FLUPC8,Group1,LB,FLUPC8,Good,1.477917,0.003977,0.201302,0.002683,2.147139,0.051082,1.872119,0.997978,0.023264
BifenthrinANDLB-BiF7,Group1,BifenthrinANDLB,BiF7,Good,1.647387,0.007004,0.178712,0.004213,0.0,0.126785,2.350575,0.989123,0.033658
BifenthrinANDLB-BIF2,Group1,BifenthrinANDLB,BIF2,Good,1.621241,0.01007,0.168034,0.004285,0.399425,0.125848,2.460266,0.989256,0.05175
BifenthrinANDLB-BIF9,Group1,BifenthrinANDLB,BIF9,Good,1.626078,0.010102,0.166852,0.004237,0.314199,0.126558,2.48508,0.989196,0.051629
LB-LCY4,Group1,LB,LCY4,Good,1.353283,0.004615,0.165563,0.002226,4.21399,0.055776,2.084282,0.998304,0.02164
LambdaCyhalothrinANDLB-LCY4,Group1,LambdaCyhalothrinANDLB,LCY4,Good,0.80352,0.020953,0.163069,0.003562,3.226707,0.043341,1.256483,0.997883,0.011371
BifenthrinANDLB-BIF6,Group1,BifenthrinANDLB,BIF6,Good,1.629812,0.011374,0.153743,0.00405,0.047905,0.14149,2.703163,0.987918,0.05387
Bifenthrin-BIF6,Group1,Bifenthrin,BIF6,Good,0.053698,0.004125,0.002686,0.000172,3.102502,0.512385,5.098469,0.914205,0.00453
LB-MAL1,Group2,LB,MAL1,Good,1.542449,0.00482,0.408911,0.008242,3.116074,0.040627,0.961862,0.997967,0.027235
LB-MAL8,Group2,LB,MAL8,Good,1.526083,0.004289,0.407634,0.010629,1.854074,0.053103,0.954639,0.993991,0.036013
MALATHIONANDLB-MAL1,Group2,MALATHIONANDLB,MAL1,Good,1.70859,0.004254,0.382239,0.002537,2.445487,0.014218,1.139815,0.99974,0.008103
LB-MAL5,Group2,LB,MAL5,Good,1.520267,0.002828,0.370208,0.003461,2.377897,0.020226,1.047141,0.999237,0.01156
MALATHIONANDLB-MAL8,Group2,MALATHIONANDLB,MAL8,Good,1.649599,0.003862,0.339753,0.002516,1.943026,0.018006,1.238074,0.999619,0.008509
LB-MAL10,Group2,LB,MAL10,Good,1.414144,0.008568,0.297593,0.010053,2.191012,0.08479,1.211717,0.99206,0.046068
MALATHIONANDLB-MAL5,Group2,MALATHIONANDLB,MAL5,Good,1.593836,0.006885,0.294765,0.002582,2.713137,0.02164,1.37879,0.999623,0.011242
LB-LCY1,Group2,LB,LCY1,Good,2.245588,0.066793,0.230023,0.002434,3.518731,0.035473,2.48937,0.999797,0.004396
MALATHIONANDLB-MAL4,Group2,MALATHIONANDLB,MAL4,Good,2.356155,0.114997,0.226331,0.003978,3.285694,0.062294,2.654554,0.999433,0.007549
LAMBDACYHALOTHRINANDLB-LCY1,Group2,LAMBDACYHALOTHRINANDLB,LCY1,Good,1.424762,0.007118,0.202078,0.001151,4.033927,0.016765,1.79785,0.999792,0.006619
LB-MAL4,Group2,LB,MAL4,Good,1.460995,0.001574,0.193647,0.001172,2.481357,0.024137,1.923842,0.999444,0.010775
LAMBDACYHALOTHRIN-LCY1,Group2,LAMBDACYHALOTHRIN,LCY1,Good,0.04203,0.000193,0.02834,0.002023,76.330258,0.058197,0.378169,0.990281,0.001756
MALATHIONANDLB-MAL10,Group2,MALATHIONANDLB,MAL10,Good,4.3937,2.713981,0.016993,0.003586,0.0,17.647348,65.93032,-1.33187,0.416704
H2O-MAL8,Group2,H2O,MAL8,Good,0.075784,0.00135,0.009321,0.00028,4.113899,0.108414,2.073145,0.993477,0.002176
H2O-MAL10,Group2,H2O,MAL10,Good,0.01,0.000267,0.001,0.000169,61.128146,0.899725,2.549946,0.372302,0.00244
H2O-MAL1,Group2,H2O,MAL1,Good,0.025901,0.00021,0.001,3.5e-05,33.195484,0.459519,6.604514,0.967268,0.001953
LB-LCY01,Group3,LB,LCY01,Good,1.700335,0.022672,0.203013,0.001436,4.459147,0.023461,2.135709,0.999511,0.010088
LB-IMID2,Group3,LB,IMID2,Good,1.703688,0.007831,0.195519,0.000856,1.254846,0.015385,2.221937,0.999826,0.005758
LAMBDACYHALOTHRINANDLB-LCY01,Group3,LAMBDACYHALOTHRINANDLB,LCY01,Good,1.777587,0.000868,0.192098,0.00039,3.918581,0.009612,2.359609,0.999937,0.004594
IMIDACLOPRIDANDLB-IMID2,Group3,IMIDACLOPRIDANDLB,IMID2,Good,1.635039,0.001113,0.150303,0.000435,0.598361,0.016911,2.773906,0.999839,0.004945
IMIDACLOPRIDANDLB-IMID8,Group3,IMIDACLOPRIDANDLB,IMID8,Good,1.290896,0.017277,0.125468,0.000709,2.222958,0.022893,2.623546,0.999533,0.006385
LB-IMID8,Group3,LB,IMID8,Good,0.830927,0.002171,0.094709,0.00056,2.003496,0.024103,2.237198,0.99962,0.00507
LAMBDACYHALOTHRINANDLB-LCY2,Group3,LAMBDACYHALOTHRINANDLB,LCY2,Good,1.054182,0.003041,0.079822,0.00064,2.219736,0.051014,3.367636,0.998802,0.011359
IMIDACLOPRIDANDLB-IMID5,Group3,IMIDACLOPRIDANDLB,IMID5,Good,1.132261,0.011787,0.076456,0.000472,1.803445,0.035749,3.776274,0.999298,0.007591
IMIDACLOPRIDANDLB-IMID3,Group3,IMIDACLOPRIDANDLB,IMID3,Good,1.679139,0.005039,0.074068,0.000493,2.777119,0.069966,5.780749,0.998725,0.018495
LB-IMID3,Group3,LB,IMID3,Good,1.109685,0.015108,0.065711,0.00032,1.428213,0.031783,4.30619,0.999403,0.005525
LB-IMID5,Group3,LB,IMID5,Good,1.54451,0.005406,0.050505,0.000985,0.138095,0.317333,7.798044,0.973646,0.070544
LB-LCY2,Group3,LB,LCY2,Good,1.529817,0.007402,0.046431,0.001195,0.0,0.449599,8.401587,0.94703,0.094655
IMIDACLOPRID-IMID2,Group3,IMIDACLOPRID,IMID2,Good,0.121142,0.00264,0.012636,0.000177,7.293582,0.05327,2.444604,0.997993,0.001545
IMIDACLOPRID-IMID8,Group3,IMIDACLOPRID,IMID8,Good,0.094657,0.000845,0.011252,0.000207,3.653507,0.071106,2.145186,0.99733,0.001783
H2O-IMID2,Group3,H2O,IMID2,Good,0.158448,0.001362,0.009511,0.000153,0.326595,0.123918,4.248086,0.995473,0.002626
H2O-IMID5,Group3,H2O,IMID5,Good,0.016201,7e-05,0.001,3.8e-05,4.016378,0.331169,4.131247,0.923234,0.001144
LB-PERM4,Group4,LB,PERM4,Good,1.475697,0.015621,0.533457,0.025218,2.460127,0.067458,0.705389,0.992179,0.048172
LB-PERM7,Group4,LB,PERM7,Good,1.401546,0.014159,0.515632,0.017827,1.767215,0.04674,0.693104,0.9968,0.03104
PERMETHRINANDLB-PERM4,Group4,PERMETHRINANDLB,PERM4,Good,1.088738,0.019869,0.318986,0.013076,2.757597,0.065022,0.870328,0.995011,0.028941
PERMETHRINANDLB-PERM7,Group4,PERMETHRINANDLB,PERM7,Good,1.175268,0.018008,0.255714,0.00697,1.195652,0.055998,1.171964,0.996663,0.022699
LAMBDACYHALOTHRINANDLB-LCY3,Group4,LAMBDACYHALOTHRINANDLB,LCY3,Good,1.042289,0.005659,0.094788,0.000984,4.092506,0.051617,2.803926,0.998649,0.012258
LB-LCY3,Group4,LB,LCY3,Good,1.872613,0.073461,0.033657,0.000309,4.327041,0.225607,14.187576,0.992287,0.030119
PERMETHRINANDLB-CYPERM2,Group4,PERMETHRINANDLB,CYPERM2,Good,0.744651,0.004586,0.021263,0.000197,45.997636,0.14102,8.930047,0.997287,0.013597
LB-CYPERM2,Group4,LB,CYPERM2,Good,0.140584,0.000312,0.013778,0.00017,2.130236,0.071007,2.60186,0.996612,0.001805
PERMETHRINANDLB-CISPERM1,Group4,PERMETHRINANDLB,CISPERM1,Good,0.824125,0.083723,0.011415,0.000429,64.289309,0.908167,18.40941,0.977541,0.014368
PERMETHRIN-PERM7,Group4,PERMETHRIN,PERM7,Good,0.210967,0.000448,0.010723,8.1e-05,14.894633,0.073946,5.016751,0.998863,0.002882
PERMETHRIN-PERM4,Group4,PERMETHRIN,PERM4,Good,0.112771,0.001139,0.0061,9.7e-05,14.859845,0.128409,4.713897,0.995978,0.002574
LAMBDACYHALOTHRIN-LCY3,Group4,LAMBDACYHALOTHRIN,LCY3,Good,0.044388,0.00076,0.001,3e-05,20.479652,0.596446,11.318604,0.958291,0.003073
DIAZINONANDLB-DIAZ28,Group5,DIAZINONANDLB,DIAZ28,Good,1.317897,0.005067,0.127665,0.001715,0.0,0.075895,2.632343,0.998934,0.008866
DIAZINONANDLB-DIAZ8,Group5,DIAZINONANDLB,DIAZ8,Good,0.380054,0.003774,0.103751,0.022429,0.0,0.678024,0.93408,0.72849,0.017547
DIAZINONANDG-DIAZ8,Group5,DIAZINONANDG,DIAZ8,Good,0.170308,0.001512,0.048358,0.002118,7.864364,0.080507,0.898034,0.996845,0.004201
DIAZINONANDG-DIAZ28,Group5,DIAZINONANDG,DIAZ28,Good,0.097076,0.001,0.026931,0.001818,11.607307,0.130209,0.919171,0.99183,0.003932
IMIDACLOPRIDANDLB-IMID3,Group5,IMIDACLOPRIDANDLB,IMID3,Good,0.916551,0.013404,0.021534,0.000219,6.411173,0.170932,10.853553,0.997437,0.012484
DIAZINONANDG-DIAZ26,Group5,DIAZINONANDG,DIAZ26,Good,0.101841,0.001988,0.00456,5.7e-05,11.19358,0.10967,5.69475,0.998096,0.001236
MALATHIONANDG-MAL6,Group5,MALATHIONANDG,MAL6,Good,0.013774,0.000113,0.003838,0.00036,14.366093,0.184207,0.915244,0.982548,0.000815
MALATHIONANDG-MAL10,Group5,MALATHIONANDG,MAL10,Good,0.018878,0.000179,0.003179,0.000263,12.003161,0.266771,1.514334,0.975928,0.001252
MALATHIONANDG-MAL4,Group5,MALATHIONANDG,MAL4,Good,0.045648,0.001705,0.002675,0.000143,25.382824,0.395455,4.35213,0.978606,0.002333
MALATHIONANDG-MAL5,Group5,MALATHIONANDG,MAL5,Good,0.023219,0.000361,0.00204,9.4e-05,25.601805,0.254683,2.902487,0.989077,0.000988
MALATHIONANDG-MAL8,Group5,MALATHIONANDG,MAL8,Good,0.037948,0.001015,0.001403,6.5e-05,9.021654,0.556219,6.897778,0.972413,0.002187
MALATHIONANDG-MAL1,Group5,MALATHIONANDG,MAL1,Good,0.024885,0.000418,0.001227,5e-05,12.841133,0.389499,5.16983,0.984487,0.001192
MALATHIONANDG-MAL2,Group5,MALATHIONANDG,MAL2,Good,0.027628,0.000887,0.001,7.5e-05,1.932369,0.962323,7.045091,0.905718,0.002687
IMIDACLOPRIDANDLB-IMID2,Group6,IMIDACLOPRIDANDLB,IMID2,Good,0.39664,0.004371,0.037628,0.000611,5.771446,0.074174,2.687887,0.998779,0.004737
IMIDACLOPRIDANDLB-IMID8,Group6,IMIDACLOPRIDANDLB,IMID8,Good,0.385954,0.006759,0.029977,0.000172,7.102639,0.031146,3.28307,0.999688,0.001587
IMIDACLOPRIDANDLB-IMID5,Group6,IMIDACLOPRIDANDLB,IMID5,Good,1.558146,0.027557,0.023959,0.000357,3.925656,0.384993,16.583529,0.991945,0.035523
IMIDACLOPRIDANDLB-IMID6,Group6,IMIDACLOPRIDANDLB,IMID6,Good,0.641276,0.007173,0.016917,0.000813,0.0,0.940975,9.666071,0.917187,0.053482
IMIDACLOPRID-IMID6,Group6,IMIDACLOPRID,IMID6,Good,0.10428,0.000864,0.004318,8.5e-05,3.442007,0.222049,6.157761,0.994171,0.002571
